,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
20,2025-11-26T03:00:37Z,UCwbP4USYrniJGROwQNiwH-Q,Woman BELITTLES Her Baby Daddy &amp; This Happend!,"Woman BELITTLES Her Baby Daddy & This Happend! Hey Loves, Make Sure You Hit The Like Button And Let Me Know What ...","{'default': {'url': 'https://i.ytimg.com/vi/RJVKZ2iyHak/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RJVKZ2iyHak/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RJVKZ2iyHak/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2025-11-26T03:00:37Z,RJVKZ2iyHak,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/RJVKZ2iyHak"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
6,2025-11-26T02:55:58Z,UCJa58Tf70HC5q2oQDNBrJ2g,African Diaspora Storytelling: Preserve Your Legacy! #shorts,"Ubehi Ewanfu hosts the African Diaspora Storytelling Series, uniting millions through shared narratives. Discover how your story ...","{'default': {'url': 'https://i.ytimg.com/vi/FAqNdXufXWw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FAqNdXufXWw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FAqNdXufXWw/hqdefault.jpg', 'width': 480, 'height': 360}}",Obehi Ewanfoh,none,2025-11-26T02:55:58Z,FAqNdXufXWw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FAqNdXufXWw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
5,2025-11-26T02:09:23Z,UCKZGcrxRAhdUi58Mdr565mw,Somalis In Minnesota Cry Foul After Trump Moves To Cancel Temporary Protected Status,Welcome to African Diaspora News Channel — Where We Speak Truth to Power. We bring you unapologetic news and ...,"{'default': {'url': 'https://i.ytimg.com/vi/R9hKVYw4WTw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/R9hKVYw4WTw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/R9hKVYw4WTw/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2025-11-26T02:09:23Z,R9hKVYw4WTw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/R9hKVYw4WTw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
41,2025-11-26T01:12:09Z,UC2rmgVaijnf92nixlIZWGmg,South Africa Tour Vlog: This Is Where Nelson Mandela Served As A Political Prisoner,South Africa Tour Vlog: This Is Where Nelson Mandela Served As A Political Prisoner Patreon: ...,"{'default': {'url': 'https://i.ytimg.com/vi/39KCvIzd3Dw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/39KCvIzd3Dw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/39KCvIzd3Dw/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2025-11-26T01:12:09Z,39KCvIzd3Dw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/39KCvIzd3Dw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
14,2025-11-26T01:11:16Z,UCIxrFTHZybtTgq8X7itOAkQ,Inside Part Of Europe People Don&#39;t Know About |Travel Documentary,"Go to https://piavpn.com/BlackmanDaTraveller to get 83% off from our sponsor, Private Internet Access, with 4 months free!","{'default': {'url': 'https://i.ytimg.com/vi/xP2GudF41Kw/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xP2GudF41Kw/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xP2GudF41Kw/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Blackman Da Traveller,upcoming,2025-11-26T01:11:16Z,xP2GudF41Kw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xP2GudF41Kw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
19,2025-11-26T00:44:49Z,UCABZ7Z6SBTp4IsARDceOq7w,‘City Girl Nurses’ Blamed For ‘Ruining Nurse Degrees’ Amid &quot;Non-Professional&quot; Label - HP News,https://hypersclub.com/ - Across the country many are currently reacting about a recent announcement from the Department of ...,"{'default': {'url': 'https://i.ytimg.com/vi/csZWoAzTtqo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/csZWoAzTtqo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/csZWoAzTtqo/hqdefault.jpg', 'width': 480, 'height': 360}}",HYPE+,none,2025-11-26T00:44:49Z,csZWoAzTtqo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/csZWoAzTtqo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
26,2025-11-25T23:35:33Z,UCwZ2vurIl_X8rv0Dv4mu12A,It Would Be A Glorious Thing If The Rastafari In Jamaica United - Ras Flako Tafari,JOIN THE MOVEMENT → Watch The FULL UNCENSORED interview with Ras Flako Tafari. https://ineverknewtv.com/premium/ ...,"{'default': {'url': 'https://i.ytimg.com/vi/pniCQVAFSrE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pniCQVAFSrE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pniCQVAFSrE/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2025-11-25T23:35:33Z,pniCQVAFSrE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/pniCQVAFSrE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
15,2025-11-25T21:39:59Z,UCiinSjWS3E0vtAa3DCvp7iA,DC residents lined up for hours to apply for aid after steep cuts to emergency rental assistance,,"{'default': {'url': 'https://i.ytimg.com/vi/0TkpSv6Kfho/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0TkpSv6Kfho/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0TkpSv6Kfho/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2025-11-25T21:39:59Z,0TkpSv6Kfho,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/0TkpSv6Kfho"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
52,2025-11-25T21:11:36Z,UCHVBLMcvOgDtFEF2bToQLqw,2819 Pastor Arrested for Child abuse,2819 Pastor Arrested for Child abuse.,"{'default': {'url': 'https://i.ytimg.com/vi/BzxmqcL5emU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/BzxmqcL5emU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/BzxmqcL5emU/hqdefault.jpg', 'width': 480, 'height': 360}}",We Woke Now,none,2025-11-25T21:11:36Z,BzxmqcL5emU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/BzxmqcL5emU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
32,2025-11-25T19:26:42Z,UCKLSjhp6XZUEYDT1DMcrj8w,"SHOCK in Gabon: Youth Join Traore, Rejects Macron, SHUTDOWN France Military Base","The spirit of African freedom is unstoppable. Today, a historic wave has shaken the continent — the youth of Gabon have risen, ...","{'default': {'url': 'https://i.ytimg.com/vi/S8Zj6Ul15to/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/S8Zj6Ul15to/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/S8Zj6Ul15to/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2025-11-25T19:26:42Z,S8Zj6Ul15to,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/S8Zj6Ul15to"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
