,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
71,2026-04-27T03:30:43Z,UCQoxJOkwaCgyzQtiuAIDcuw,Dark People Don&#39;t Like Light Skin People.&quot; - Michael Beasley I CLUB SHAY SHAY,"Dark People Don't Like Light Skin People."" - Michael Beasley “We sit here and judge everybody's thoughts like we're grading a ...","{'default': {'url': 'https://i.ytimg.com/vi/uEnkYtdheLU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uEnkYtdheLU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uEnkYtdheLU/hqdefault.jpg', 'width': 480, 'height': 360}}",Club Shay Shay,none,2026-04-27T03:30:43Z,uEnkYtdheLU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/uEnkYtdheLU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Sports
43,2026-04-27T03:05:39Z,UCwbP4USYrniJGROwQNiwH-Q,Clay Thompson Didn&#39;t Take Megan Thee Stallion SERIOUSLY &amp; Women Are Mad!,"Clay Thompson Didn't Take Megan Thee Stallion SERIOUSLY & Women Are Mad! Husband's NEW Singles ""I Get You"" "" GIRLY ...","{'default': {'url': 'https://i.ytimg.com/vi/_7Y-RffH_ZU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_7Y-RffH_ZU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_7Y-RffH_ZU/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDeesReactions,none,2026-04-27T03:05:39Z,_7Y-RffH_ZU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/_7Y-RffH_ZU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
73,2026-04-27T03:00:33Z,UCAvjYgmwadC682OoC4Cc6TQ,Swaggy prefered to play Playoff games during the day 🤣,"Gil's Arena's Nick Young, Brandon Jennings, and Rashad McCants talk about what parts of the day where their favorite to play at ...","{'default': {'url': 'https://i.ytimg.com/vi/UUDOmjHfiHI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UUDOmjHfiHI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UUDOmjHfiHI/hqdefault.jpg', 'width': 480, 'height': 360}}",The Arena,none,2026-04-27T03:00:33Z,UUDOmjHfiHI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UUDOmjHfiHI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Sports
52,2026-04-27T02:38:41Z,UCHVBLMcvOgDtFEF2bToQLqw,Trump racist Candace Owens post on Truth Social,Trump racist Candace Owens post on Truth Social #candaceowens #candaceowensppdcast #truthsocial #trump #tuckercarlson.,"{'default': {'url': 'https://i.ytimg.com/vi/UWBzD9ZHMuc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UWBzD9ZHMuc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UWBzD9ZHMuc/hqdefault.jpg', 'width': 480, 'height': 360}}",We Woke Now,none,2026-04-27T02:38:41Z,UWBzD9ZHMuc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UWBzD9ZHMuc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
47,2026-04-27T02:00:40Z,UCbB_WVM-e7nuhWd_FB_8KBQ,Tiffany Haddish On Smoke Detector Beep | One54 Africa Podcast,Somebody in this house is crazy!” - Tiffany Watch the full episode on One54 Africa YouTube! And listen on iHeart or wherever you ...,"{'default': {'url': 'https://i.ytimg.com/vi/k6zBadP9NNU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/k6zBadP9NNU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/k6zBadP9NNU/hqdefault.jpg', 'width': 480, 'height': 360}}",One54 Africa,none,2026-04-27T02:00:40Z,k6zBadP9NNU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/k6zBadP9NNU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
53,2026-04-27T01:51:48Z,UCXyHjFIKz9D8ofxObOuYBbg,The Fear of Women is the Beginning of Wisdom,read that again.,"{'default': {'url': 'https://i.ytimg.com/vi/32MCxFRbnok/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/32MCxFRbnok/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/32MCxFRbnok/hqdefault.jpg', 'width': 480, 'height': 360}}",WeNeedToTalk,none,2026-04-27T01:51:48Z,32MCxFRbnok,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/32MCxFRbnok"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
0,2026-04-27T01:43:12Z,UCKZGcrxRAhdUi58Mdr565mw,Ontario Father DEMANDS Justice After Serious School Incident with Nonverbal Autistic Daughter,Emma Ansah reports on a black father who is unrelenting in his demand for justice after his nonverbal autistic 7 year old daughter ...,"{'default': {'url': 'https://i.ytimg.com/vi/odAdauz62dM/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/odAdauz62dM/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/odAdauz62dM/hqdefault_live.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,upcoming,2026-04-27T01:43:12Z,odAdauz62dM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/odAdauz62dM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
74,2026-04-27T01:39:18Z,UCSlLff7uX8i8uUpB1MnhN2Q,Black Billionaires vs. White Communities: Why The Difference? #shorts,Why do Black billionaires face scrutiny for not giving back? This contrasts with white community investment and unpacks the ...,"{'default': {'url': 'https://i.ytimg.com/vi/45kzQK-NC6I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/45kzQK-NC6I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/45kzQK-NC6I/hqdefault.jpg', 'width': 480, 'height': 360}}",The Conscious Lee,none,2026-04-27T01:39:18Z,45kzQK-NC6I,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/45kzQK-NC6I"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
23,2026-04-27T00:57:27Z,UCJa58Tf70HC5q2oQDNBrJ2g,Unlocking Your Potential: Beyond 4 Pillars #shorts,"Initially focused on strategic planning, research, resource identification, and leadership development, I found myself boxed in.","{'default': {'url': 'https://i.ytimg.com/vi/YB5UYU2S1Is/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YB5UYU2S1Is/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YB5UYU2S1Is/hqdefault.jpg', 'width': 480, 'height': 360}}",Obehi Ewanfoh,none,2026-04-27T00:57:27Z,YB5UYU2S1Is,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YB5UYU2S1Is"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
34,2026-04-27T00:20:05Z,UCIwGnOXoSXEI7Tooz3iKq5w,Historian tells the whole truth,,"{'default': {'url': 'https://i.ytimg.com/vi/FMamjGira8g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FMamjGira8g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FMamjGira8g/hqdefault.jpg', 'width': 480, 'height': 360}}",Without History,none,2026-04-27T00:20:05Z,FMamjGira8g,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/FMamjGira8g"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
44,2026-04-26T23:45:15Z,UCwZ2vurIl_X8rv0Dv4mu12A,Scientist Of Evil #flowers #thc #ineverknewtv,"INVEST IN INDEPENDENT BLACK MEDIA→ Uncensored, Ad-Free & Exclusive Content https://ineverknewtv.com/premium/","{'default': {'url': 'https://i.ytimg.com/vi/_o8alhWRiu8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_o8alhWRiu8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_o8alhWRiu8/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2026-04-26T23:45:15Z,_o8alhWRiu8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/_o8alhWRiu8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
