,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
6,2024-05-14T02:16:07Z,UCRVsqvXIdgyPVS-a6fGa1lA,"Return of GameStop Craze, Meme Stocks Skyrocket, Urban Devolvement &amp; 7B Plan for Detroit &amp; Cleveland",Join us this week on Market Mondays as we delve into pressing topics shaping the tech and financial landscapes. In this episode ...,"{'default': {'url': 'https://i.ytimg.com/vi/gkYJBCdBnxc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gkYJBCdBnxc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gkYJBCdBnxc/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-05-14T02:16:07Z,gkYJBCdBnxc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/gkYJBCdBnxc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
17,2024-05-14T01:17:24Z,UCABZ7Z6SBTp4IsARDceOq7w,HYPE MIC MONDAYS | Live From Atlanta 🔥,"https://www.hypeplustv.com/ - If you enjoy the jokes, tip us! De'Anthony Turner hosts a night of HYPE MIC live from Atlanta.","{'default': {'url': 'https://i.ytimg.com/vi/O9JGjPTQTx4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/O9JGjPTQTx4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/O9JGjPTQTx4/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-05-14T01:17:24Z,O9JGjPTQTx4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/O9JGjPTQTx4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
12,2024-05-14T01:06:42Z,UCKZGcrxRAhdUi58Mdr565mw,US Airman Roger Fortson Unalived By Race Solider Who Went To The Wrong Apartment,"Phillip Scott reports on a US Airman, Roger Fortson, who lost his life at the hands of a race soldier. The race soldier went to the ...","{'default': {'url': 'https://i.ytimg.com/vi/y6e0-4v2gXw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/y6e0-4v2gXw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/y6e0-4v2gXw/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-05-14T01:06:42Z,y6e0-4v2gXw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/y6e0-4v2gXw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
30,2024-05-14T00:47:23Z,UCOhiR-6Y-MZtMERKRENrcRw,African Americans can come to Brazil and built wealth with their talents.,"This channel is to bring the awareness to the world of the beautiful continent of Africa. My intentions are to show the development, ...","{'default': {'url': 'https://i.ytimg.com/vi/AerR-ew6lxs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AerR-ew6lxs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AerR-ew6lxs/hqdefault.jpg', 'width': 480, 'height': 360}}",GoBlack2Africa ,none,2024-05-14T00:47:23Z,AerR-ew6lxs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/AerR-ew6lxs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
21,2024-05-13T23:05:11Z,UC2rmgVaijnf92nixlIZWGmg,"Welcome 2 Senegal, So Happy To Be Back. We Are Going To Have Fun. #africa #senegal #westafrica",,"{'default': {'url': 'https://i.ytimg.com/vi/IpRY89rjKf4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IpRY89rjKf4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IpRY89rjKf4/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-05-13T23:05:11Z,IpRY89rjKf4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/IpRY89rjKf4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
18,2024-05-13T22:50:16Z,UCrPq2ekHx2vZtuyG3wUx0_g,Stop Complaining And Work Harder | Charlie Kirk&#39;s Views on Racsim Breakdown Clip,Link to purchase books we have read and reviewed: https://amzn.to/4b5LcrU cashapp: $joeward84 Follow us on Instagram ...,"{'default': {'url': 'https://i.ytimg.com/vi/37nFRHTVJdI/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/37nFRHTVJdI/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/37nFRHTVJdI/hqdefault_live.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,upcoming,2024-05-13T22:50:16Z,37nFRHTVJdI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/37nFRHTVJdI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
22,2024-05-13T22:00:26Z,UCJa58Tf70HC5q2oQDNBrJ2g,"Embrace Three Important Lessons To Change Your Life: Impermanence, Authenticity, And Perspective","Have you ever pondered the nature of change? How does everything around us seem to be in a perpetual state of flux, from the ...","{'default': {'url': 'https://i.ytimg.com/vi/ukvja65iqCk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ukvja65iqCk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ukvja65iqCk/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs,none,2024-05-13T22:00:26Z,ukvja65iqCk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ukvja65iqCk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
36,2024-05-13T21:00:16Z,UCv8G-xZ_BBGufjbN6jbvLMQ,I&#39;m Fat and Depressed - Comedian Damn Fool - Chocolate Sundaes Standup Comedy,Follow Damn Fool on social media: @damnfoolisfunny Originally filmed 3/31/24 Videographer: Omar Juarez @badsplice Editor: ...,"{'default': {'url': 'https://i.ytimg.com/vi/YNfjByRIryU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YNfjByRIryU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YNfjByRIryU/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2024-05-13T21:00:16Z,YNfjByRIryU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YNfjByRIryU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
20,2024-05-13T19:45:06Z,UCi2uaWdy6OTf4Ty7DVC_7lw,REAL Streets Of DAR ES SALAAM Tanzania RAW &amp; UNCUT !!!,"Hello family , welcome to my YouTube channel iam_marwa , Beautiful Day in Zanzibar Island Tanzania , Zanzibar is a Tanzanian ...","{'default': {'url': 'https://i.ytimg.com/vi/Vdzx-gjUmh8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Vdzx-gjUmh8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Vdzx-gjUmh8/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-05-13T19:45:06Z,Vdzx-gjUmh8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Vdzx-gjUmh8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
11,2024-05-13T17:55:57Z,UC-4h1XQ47sf0vbFwJvuBhEA,10 Gifted Black People With Insane Abilities &amp; Skills,"10 Gifted Black People With Insane Abilities & Skills - Each person possesses a unique talent or skill that, when cultivated, has the ...","{'default': {'url': 'https://i.ytimg.com/vi/RiJ6qAh7NpE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RiJ6qAh7NpE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RiJ6qAh7NpE/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-05-13T17:55:57Z,RiJ6qAh7NpE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/RiJ6qAh7NpE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
