,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
7,2024-06-23T02:00:31Z,UCepJ2MwkHah89uXokQVgUrA,Conservative Group Mad Over U.S. City Issuing Reparations #Shorts #USA #Reparations,A US city is the first to take a step toward addressing historical injustices against Black people. Evanston in Illinois has already ...,"{'default': {'url': 'https://i.ytimg.com/vi/p4K0VcfVG-w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/p4K0VcfVG-w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/p4K0VcfVG-w/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-06-23T02:00:31Z,p4K0VcfVG-w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/p4K0VcfVG-w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
39,2024-06-23T01:26:15Z,UC2rmgVaijnf92nixlIZWGmg,More Reasons Why Nigeria Is The Best Fit For The Black Diaspora,More Reasons Why Nigeria Is The Best Fit For The Black Diaspora Please Subscribe Patreon: ...,"{'default': {'url': 'https://i.ytimg.com/vi/Ajlk11TEnu4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ajlk11TEnu4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ajlk11TEnu4/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-06-23T01:26:15Z,Ajlk11TEnu4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ajlk11TEnu4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
19,2024-06-23T00:00:09Z,UCRVsqvXIdgyPVS-a6fGa1lA,🏢 Hollywood and the Pentagon: Unraveling The Hidden Influence,"Welcome to another electrifying clip of ""Black Out with Ian & Rashad""! 🎙️ In this clip, we dive deep into the complex and often ...","{'default': {'url': 'https://i.ytimg.com/vi/PMN2ABIrJ9c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PMN2ABIrJ9c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PMN2ABIrJ9c/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-06-23T00:00:09Z,PMN2ABIrJ9c,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/PMN2ABIrJ9c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
50,2024-06-22T22:56:30Z,UCHVBLMcvOgDtFEF2bToQLqw,Synagogue of Satan the Imposters,Synagogue of Satan the Imposters.,"{'default': {'url': 'https://i.ytimg.com/vi/tz27y8CC15w/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tz27y8CC15w/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tz27y8CC15w/hqdefault_live.jpg', 'width': 480, 'height': 360}}",We Woke Now,live,2024-06-22T22:56:30Z,tz27y8CC15w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/tz27y8CC15w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
44,2024-06-22T21:15:40Z,UC4m46pCBkMEyy8gk26WKqbA,Broken Play | Navv Greene Ft. Lou Young &amp; Brantlee Fields | S02 | EP40 | 06.22.24,"THIS WEEK ON BROKEN PLAY: Just like we all knew, the Boston Celtics are the 2024 NBA champions. In better news, Jaylen ...","{'default': {'url': 'https://i.ytimg.com/vi/XhjR-8ipe7I/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XhjR-8ipe7I/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XhjR-8ipe7I/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2024-06-22T21:15:40Z,XhjR-8ipe7I,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/XhjR-8ipe7I"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
5,2024-06-22T20:00:01Z,UCKZGcrxRAhdUi58Mdr565mw,Young Black Boy Takes On Anti-Black Boer,"Naledi Mfolo reports on a confrontational exchange between a young black boy and a Boer. The interaction, charged with emotion ...","{'default': {'url': 'https://i.ytimg.com/vi/aiwshHJRgpU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aiwshHJRgpU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aiwshHJRgpU/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-06-22T20:00:01Z,aiwshHJRgpU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/aiwshHJRgpU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
47,2024-06-22T18:31:25Z,UC-4h1XQ47sf0vbFwJvuBhEA,"Burkina Faso&#39;s Ibrahim Traoré dismisses Western rumors of a coup, saying he&#39;s in control.","Burkina Faso's Ibrahim Traoré dismisses Western rumors of a coup, saying he's in control. - In recent weeks, Western media has ...","{'default': {'url': 'https://i.ytimg.com/vi/baQl4A504iM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/baQl4A504iM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/baQl4A504iM/hqdefault.jpg', 'width': 480, 'height': 360}}",The New Africa Channel,none,2024-06-22T18:31:25Z,baQl4A504iM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/baQl4A504iM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
35,2024-06-22T18:22:26Z,UCMe6CgCi6TSZX1tUxuUvCGg,HAPPY JUNETEETH - FREEDOM DAY 2024,Coming up live tonight with Prof Rev Dr Kweku NiNaNa.,"{'default': {'url': 'https://i.ytimg.com/vi/pXd6wrRfn8M/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pXd6wrRfn8M/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pXd6wrRfn8M/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV,upcoming,2024-06-22T18:22:26Z,pXd6wrRfn8M,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/pXd6wrRfn8M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
18,2024-06-22T17:50:15Z,UCwbP4USYrniJGROwQNiwH-Q,Women Always Know Their Worth When It&#39;s TOO LATE,Book Your 1-On-1 60-Minute Advice Consultations Here: https://calendly.com/deedeewoods4real Join My Patreon Here: ...,"{'default': {'url': 'https://i.ytimg.com/vi/ea1-oTFCXtM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ea1-oTFCXtM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ea1-oTFCXtM/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2024-06-22T17:50:15Z,ea1-oTFCXtM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ea1-oTFCXtM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
25,2024-06-22T17:40:57Z,UCi2uaWdy6OTf4Ty7DVC_7lw,The END of Our South African Trip !!!,"Hello family here is Cape town South Africa , welcome to my YouTube channel iam_marwa , i hope you have enjoyed this video.","{'default': {'url': 'https://i.ytimg.com/vi/wjAK0DA9rJE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wjAK0DA9rJE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wjAK0DA9rJE/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-06-22T17:40:57Z,wjAK0DA9rJE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/wjAK0DA9rJE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
