,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
17,2025-04-12T02:57:58Z,UCwbP4USYrniJGROwQNiwH-Q,4 Things Women CRAVE From Men! But Is It Enough?!,Order Merch Here: https://deedees-apparel.creator-spring.com Follow Me On Tiktok Here: www.tiktok.com/@deedeesreactions ...,"{'default': {'url': 'https://i.ytimg.com/vi/D_16z_p_rjI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/D_16z_p_rjI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/D_16z_p_rjI/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2025-04-12T02:57:58Z,D_16z_p_rjI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/D_16z_p_rjI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
49,2025-04-12T02:15:20Z,UCHVBLMcvOgDtFEF2bToQLqw,Kenya chase Bishop Nathaniel out of Africa for White Jesus,Kenya chase Bishop Nathaniel out of Africa for White Jesus 🎙️ New to streaming or looking to level up? Check out StreamYard ...,"{'default': {'url': 'https://i.ytimg.com/vi/zEWrYSMTKVc/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zEWrYSMTKVc/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zEWrYSMTKVc/hqdefault_live.jpg', 'width': 480, 'height': 360}}",We Woke Now,upcoming,2025-04-12T02:15:20Z,zEWrYSMTKVc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/zEWrYSMTKVc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
38,2025-04-12T00:39:20Z,UC2rmgVaijnf92nixlIZWGmg,"Left Africa Yoruba, Now Claiming To Be The Cherokee In America...How?","Left Africa Yoruba, Now Claiming To Be The Cherokee In America...How? Patreon: https://www.patreon.com/searchforuhuru ...","{'default': {'url': 'https://i.ytimg.com/vi/zEvJRyQomXQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zEvJRyQomXQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zEvJRyQomXQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2025-04-12T00:39:20Z,zEvJRyQomXQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/zEvJRyQomXQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
29,2025-04-11T23:18:31Z,UCKLSjhp6XZUEYDT1DMcrj8w,Pan-Africanism Conference in London | Dialogue on Reparations 2025,"Join us for a powerful and timely conversation at the Pan-Africanism Conference in London, where global voices come together to ...","{'default': {'url': 'https://i.ytimg.com/vi/eMvsLyNqVXQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eMvsLyNqVXQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eMvsLyNqVXQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2025-04-11T23:18:31Z,eMvsLyNqVXQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/eMvsLyNqVXQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
5,2025-04-11T23:10:08Z,UCKZGcrxRAhdUi58Mdr565mw,CA Organizer Embarrasses Legislative Black Caucus&#39; Fake Reparations Bill During Senate Hearing,LIVE: Vicki Dillard Reacts to CA Organizer's Explosive Senate Testimony on Reparations     Vicki Dillard breaks down powerful ...,"{'default': {'url': 'https://i.ytimg.com/vi/uxfjeoAnnLc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uxfjeoAnnLc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uxfjeoAnnLc/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2025-04-11T23:10:08Z,uxfjeoAnnLc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/uxfjeoAnnLc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
10,2025-04-11T22:30:00Z,UCTNr0N__QwstBhgCtvQcjhA,White Farmers Are Panicking While Black Farmers Stay Silent,"Join our channel to get access to perks: https://www.youtube.com/channel/UCTNr0N__QwstBhgCtvQcjhA/join In this video, we ...","{'default': {'url': 'https://i.ytimg.com/vi/5Rtgoyze778/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5Rtgoyze778/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5Rtgoyze778/hqdefault.jpg', 'width': 480, 'height': 360}}",Black Discoveries,none,2025-04-11T22:30:00Z,5Rtgoyze778,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5Rtgoyze778"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
13,2025-04-11T21:15:25Z,UCiinSjWS3E0vtAa3DCvp7iA,Scott Bessent told the American Bankers Association that nations should “confront China as a group.”,,"{'default': {'url': 'https://i.ytimg.com/vi/AC2sihNQLTM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AC2sihNQLTM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AC2sihNQLTM/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2025-04-11T21:15:25Z,AC2sihNQLTM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/AC2sihNQLTM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
16,2025-04-11T20:30:12Z,UCABZ7Z6SBTp4IsARDceOq7w,"Official Trailer: Kerry Washington, Method Man, And Omar Sy Are Agents On The Run In &#39;Shadow Force&#39;","https://hypersclub.com/ - Coming to theaters on May 2nd; Kerri Washington, Omar Sy, Method Man, and Da'Vine Joy Randolph ...","{'default': {'url': 'https://i.ytimg.com/vi/yBKz8ODKKEQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yBKz8ODKKEQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yBKz8ODKKEQ/hqdefault.jpg', 'width': 480, 'height': 360}}",HYPE+,none,2025-04-11T20:30:12Z,yBKz8ODKKEQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/yBKz8ODKKEQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
15,2025-04-11T19:00:46Z,UCv8G-xZ_BBGufjbN6jbvLMQ,Imma Always Start The Argument! - Comedian Kevin Tate - Chocolate Sundaes Standup Comedy,Relationships are rough especially when you're the one starting the arguments...Always sweat the small stuff! Follow ...,"{'default': {'url': 'https://i.ytimg.com/vi/qfNwlsmAVk0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qfNwlsmAVk0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qfNwlsmAVk0/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2025-04-11T19:00:46Z,qfNwlsmAVk0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qfNwlsmAVk0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
12,2025-04-11T18:59:43Z,UCIxrFTHZybtTgq8X7itOAkQ,We Don&#39;t Get To See This Part Of Italy On Tv,"We Don't Get To See This Part Of Italy On Tv In This Travel Video i will show you Another Side Of Rome Italy We Don't See, ...","{'default': {'url': 'https://i.ytimg.com/vi/VgVQkwhICjI/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VgVQkwhICjI/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VgVQkwhICjI/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Blackman Da Traveller,upcoming,2025-04-11T18:59:43Z,VgVQkwhICjI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/VgVQkwhICjI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
