,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
17,2024-11-11T02:19:59Z,UCwbP4USYrniJGROwQNiwH-Q,Cardi B REACTS To Kamala Harris LOSING THE ELECTION To Donald Trump,Order Merch Here: https://deedees-apparel.creator-spring.com Join My Patreon Here: https://www.patreon.com/deedeesreactions ...,"{'default': {'url': 'https://i.ytimg.com/vi/m4I1OmkDCrk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/m4I1OmkDCrk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/m4I1OmkDCrk/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2024-11-11T02:19:59Z,m4I1OmkDCrk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/m4I1OmkDCrk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
12,2024-11-11T00:58:01Z,UCIxrFTHZybtTgq8X7itOAkQ,Getting Stopped by Indian Police,,"{'default': {'url': 'https://i.ytimg.com/vi/45C3YeItZhQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/45C3YeItZhQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/45C3YeItZhQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Blackman Da Traveller,none,2024-11-11T00:58:01Z,45C3YeItZhQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/45C3YeItZhQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
24,2024-11-11T00:02:30Z,UCi2uaWdy6OTf4Ty7DVC_7lw,Beautiful Pregnancy day 💕 ❤️ #pregnant #iam_marwa #america #youtube,,"{'default': {'url': 'https://i.ytimg.com/vi/TOqh23oFU7E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TOqh23oFU7E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TOqh23oFU7E/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-11-11T00:02:30Z,TOqh23oFU7E,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TOqh23oFU7E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
38,2024-11-10T23:52:09Z,UC2rmgVaijnf92nixlIZWGmg,Senegal Tour Vlog: I Miss The Joloff Rice,Senegal Tour Vlog: I Miss The Joloff Rice Please Subscribe Patreon: https://www.patreon.com/searchforuhuru Instagram: ...,"{'default': {'url': 'https://i.ytimg.com/vi/KMySV0PAVEE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KMySV0PAVEE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KMySV0PAVEE/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-11-10T23:52:09Z,KMySV0PAVEE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KMySV0PAVEE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
5,2024-11-10T22:30:06Z,UCKZGcrxRAhdUi58Mdr565mw,Libya Begins Mass Arrests &amp; Deportation Of Nigerians After Football Ruling,Victor Odion reports that Libya arrested Nigerian football (soccer) players after Libya's football team was hit with disciplinary ...,"{'default': {'url': 'https://i.ytimg.com/vi/SflWLYvZdmE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SflWLYvZdmE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SflWLYvZdmE/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-11-10T22:30:06Z,SflWLYvZdmE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SflWLYvZdmE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
44,2024-11-10T21:11:07Z,UCLjzzg-cFWpEEjnWCOpXp3Q,Black Community Rally: Don&#39;t Agonize! Organize!,Welcome to a report-back from the 16th Annual Black People's March on the White House!,"{'default': {'url': 'https://i.ytimg.com/vi/1ceHpzu_dgk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/1ceHpzu_dgk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/1ceHpzu_dgk/hqdefault.jpg', 'width': 480, 'height': 360}}",The Burning Spear TV,none,2024-11-10T21:11:07Z,1ceHpzu_dgk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/1ceHpzu_dgk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
15,2024-11-10T20:00:27Z,UCv8G-xZ_BBGufjbN6jbvLMQ,I Like Tripping Children - @mikeparamorejr  - Chocolate Sundaes Comedy #shorts,,"{'default': {'url': 'https://i.ytimg.com/vi/kUX3Eu8UYSY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kUX3Eu8UYSY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kUX3Eu8UYSY/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2024-11-10T20:00:27Z,kUX3Eu8UYSY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kUX3Eu8UYSY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
2,2024-11-10T18:52:56Z,UCW5NNtTSY5z5mENZ8dt-RCw,I Caught The Muchies In Amsterdam,"Join me as we dive into the Amsterdam food market scene, exploring some of the city's best spots for delicious Dutch cuisine and ...","{'default': {'url': 'https://i.ytimg.com/vi/lrbBwnnk44E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lrbBwnnk44E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lrbBwnnk44E/hqdefault.jpg', 'width': 480, 'height': 360}}",ACE ,none,2024-11-10T18:52:56Z,lrbBwnnk44E,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/lrbBwnnk44E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
29,2024-11-10T18:14:12Z,UCKLSjhp6XZUEYDT1DMcrj8w,"Cultural Emancipation in Africa, Can Pres RUTO go to UNGA with Traditional addressing code","Please SUBSCRIBE, LIKE, COMMENT and Share, Thank for Watching #Love #Peace #AfricanSolutions.","{'default': {'url': 'https://i.ytimg.com/vi/moUclKVY_3Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/moUclKVY_3Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/moUclKVY_3Q/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-11-10T18:14:12Z,moUclKVY_3Q,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/moUclKVY_3Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
33,2024-11-10T17:44:51Z,UCrPq2ekHx2vZtuyG3wUx0_g,Can We Truly Unite Black People?,,"{'default': {'url': 'https://i.ytimg.com/vi/Zo21FqV2QqM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Zo21FqV2QqM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Zo21FqV2QqM/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants ,none,2024-11-10T17:44:51Z,Zo21FqV2QqM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Zo21FqV2QqM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
