,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
41,2025-12-28T03:30:33Z,UCDsOKnUQnQek7-G7Xc5kB8Q,THE HIDDEN LEGACY EMOTIONALLY DISCONNECTED PARENTS LEAVE #socialproofpodcast,,"{'default': {'url': 'https://i.ytimg.com/vi/7Oe3Y8RJeOM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7Oe3Y8RJeOM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7Oe3Y8RJeOM/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2025-12-28T03:30:33Z,7Oe3Y8RJeOM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/7Oe3Y8RJeOM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
55,2025-12-28T03:12:06Z,UCHvnMsLnyQZscrq-fOckiiw,The Corner — Episode 3 (2000) | From the Creators of The Wire,The Corner — Episode 3 (2000) | From the Creators of The Wire Director: Charles S. Dutton • Rating: TV-MA We continue our ...,"{'default': {'url': 'https://i.ytimg.com/vi/ZkIpyjz5PQw/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ZkIpyjz5PQw/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ZkIpyjz5PQw/hqdefault_live.jpg', 'width': 480, 'height': 360}}",BlackTree TV,live,2025-12-28T03:12:06Z,ZkIpyjz5PQw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ZkIpyjz5PQw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
5,2025-12-28T03:00:03Z,UCJa58Tf70HC5q2oQDNBrJ2g,"Fight for Healthcare: Black Women&#39;s Wealth, DEI, and Body Care #shorts","Job loss triggers healthcare and financial crises, hitting Black Americans hardest due to existing inequalities. Women's groups ...","{'default': {'url': 'https://i.ytimg.com/vi/AiD08jmrWWw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AiD08jmrWWw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AiD08jmrWWw/hqdefault.jpg', 'width': 480, 'height': 360}}",Obehi Ewanfoh,none,2025-12-28T03:00:03Z,AiD08jmrWWw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/AiD08jmrWWw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
38,2025-12-28T02:54:00Z,UCPk29gUc_ltOGQ6f3Lh5kCg,Reelblack Live - Rarities from The Vault (12/27/2025),"Reelblack founder Mike D is live with his faithful sidekick, Molly the cat—taking questions and playing Reelblack TV clips you ...","{'default': {'url': 'https://i.ytimg.com/vi/JgcLz2TYoHk/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JgcLz2TYoHk/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JgcLz2TYoHk/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Reelblack One,live,2025-12-28T02:54:00Z,JgcLz2TYoHk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/JgcLz2TYoHk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
4,2025-12-28T01:29:13Z,UCKZGcrxRAhdUi58Mdr565mw,Somalis In Minnesota Caught Scamming Millions In Tax Dollars With Fake Daycare Centers,Welcome to African Diaspora News Channel — Where We Speak Truth to Power. We bring you unapologetic news and ...,"{'default': {'url': 'https://i.ytimg.com/vi/K8nNtzfUkzQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/K8nNtzfUkzQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/K8nNtzfUkzQ/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2025-12-28T01:29:13Z,K8nNtzfUkzQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/K8nNtzfUkzQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
19,2025-12-28T00:00:52Z,UCwbP4USYrniJGROwQNiwH-Q,Single Women SHOULD NOT Have Multiple Kids!,"Single Women SHOULD NOT Have Multiple Kids! Hey Loves, Make Sure You Hit The Like Button And Let Me Know What You ...","{'default': {'url': 'https://i.ytimg.com/vi/eTSRdxZXadw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/eTSRdxZXadw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/eTSRdxZXadw/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2025-12-28T00:00:52Z,eTSRdxZXadw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/eTSRdxZXadw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
51,2025-12-27T23:59:57Z,UCHVBLMcvOgDtFEF2bToQLqw,US Bomb Nigeria Battle for Africa,US Bomb Nigeria Battle for Africa.,"{'default': {'url': 'https://i.ytimg.com/vi/WlR6zLGBsYg/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/WlR6zLGBsYg/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/WlR6zLGBsYg/hqdefault_live.jpg', 'width': 480, 'height': 360}}",We Woke Now,live,2025-12-27T23:59:57Z,WlR6zLGBsYg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/WlR6zLGBsYg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
53,2025-12-27T23:46:13Z,UCIwGnOXoSXEI7Tooz3iKq5w,Real life Avatar …,,"{'default': {'url': 'https://i.ytimg.com/vi/aVChNKPBbec/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aVChNKPBbec/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aVChNKPBbec/hqdefault.jpg', 'width': 480, 'height': 360}}",Without History,none,2025-12-27T23:46:13Z,aVChNKPBbec,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/aVChNKPBbec"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
35,2025-12-27T23:00:38Z,UCrPq2ekHx2vZtuyG3wUx0_g,Tithes Over Truth: How the Black Church Abandoned the People | OTSOG Saturday Live,Does Church Feel Like A Business Or Show Nowadays?: https://www.youtube.com/watch?v=b7iBNKVxDtQ&t=846s Has Your Life ...,"{'default': {'url': 'https://i.ytimg.com/vi/TDVizpAYYUo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TDVizpAYYUo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TDVizpAYYUo/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants ,none,2025-12-27T23:00:38Z,TDVizpAYYUo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TDVizpAYYUo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
47,2025-12-27T22:07:46Z,UCjBw2SidW7wFElbmj9bgDjw,The True Meaning of the SACRED Scarab (Kheper) - Lecture by TKM,This is an excerpt from a lecture given by TKM at the University of Bristol.,"{'default': {'url': 'https://i.ytimg.com/vi/gwzZBdldwVo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gwzZBdldwVo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gwzZBdldwVo/hqdefault.jpg', 'width': 480, 'height': 360}}",The Kings Monologue,none,2025-12-27T22:07:46Z,gwzZBdldwVo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/gwzZBdldwVo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
