,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
4,2025-11-20T02:56:00Z,UCKZGcrxRAhdUi58Mdr565mw,"Dept Of Education Will Remove Nursing As A Professional Degree, They Want Women Back In The Home",Welcome to African Diaspora News Channel — Where We Speak Truth to Power. We bring you unapologetic news and ...,"{'default': {'url': 'https://i.ytimg.com/vi/JxBhW6d4bL0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/JxBhW6d4bL0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/JxBhW6d4bL0/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2025-11-20T02:56:00Z,JxBhW6d4bL0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/JxBhW6d4bL0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
45,2025-11-20T02:19:05Z,UC4m46pCBkMEyy8gk26WKqbA,TRAPSGIVING,85southshow Watch the real now on https://www.channeleightyfive.com/,"{'default': {'url': 'https://i.ytimg.com/vi/wHFx0RJ7CUg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/wHFx0RJ7CUg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/wHFx0RJ7CUg/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2025-11-20T02:19:05Z,wHFx0RJ7CUg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/wHFx0RJ7CUg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
25,2025-11-20T01:55:43Z,UCwZ2vurIl_X8rv0Dv4mu12A,Soweto Uprisings #apartheid #southafrica #africanhistory #blackslaverevolts,Learn more about the Soweto Uprisings at www.BlackSlaveRevolts.org.,"{'default': {'url': 'https://i.ytimg.com/vi/6UowKWXquuw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6UowKWXquuw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6UowKWXquuw/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2025-11-20T01:55:43Z,6UowKWXquuw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/6UowKWXquuw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
20,2025-11-20T01:00:08Z,UCRVsqvXIdgyPVS-a6fGa1lA,"MAGA Breakup, Epstein Files, Quarter-Zip Trend + Suicide, Therapy, &amp; Toxic Love w/ Dr Jay Barnett","This week on Black Out, we opened with the quarter-zip and matcha trend taking over social media and debated whether it's ...","{'default': {'url': 'https://i.ytimg.com/vi/9AJyyB9jE68/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9AJyyB9jE68/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9AJyyB9jE68/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,live,2025-11-20T01:00:08Z,9AJyyB9jE68,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/9AJyyB9jE68"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
16,2025-11-20T00:39:25Z,UCL0u5uz7KZ9q-pe-VC8TY-w,My Turning Point on Israel – Palestine.,,"{'default': {'url': 'https://i.ytimg.com/vi/dOby-bja9PA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dOby-bja9PA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dOby-bja9PA/hqdefault.jpg', 'width': 480, 'height': 360}}",Candace Owens,none,2025-11-20T00:39:25Z,dOby-bja9PA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dOby-bja9PA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
19,2025-11-20T00:38:47Z,UCwbP4USYrniJGROwQNiwH-Q,(REPOST) BITTER Melyssa Ford BLAMES REDPILL For Hitting The Wall!,"(REPOST) BITTER Melyssa Ford BLAMES REDPILL For Hitting The Wall! Hey Loves, Make Sure You Hit The Like Button And Let ...","{'default': {'url': 'https://i.ytimg.com/vi/p2g4joIe2co/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/p2g4joIe2co/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/p2g4joIe2co/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2025-11-20T00:38:47Z,p2g4joIe2co,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/p2g4joIe2co"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
5,2025-11-20T00:30:09Z,UCJa58Tf70HC5q2oQDNBrJ2g,Unlock Your Unique Story - Ditch the Competition and Own Your #success #story,"Obehi #ObehiEwanfoh. #Story-to-Asset. We uploads multiple weekly videos on business, African diaspora, entrepreneurship, ...","{'default': {'url': 'https://i.ytimg.com/vi/80D_gGNue7k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/80D_gGNue7k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/80D_gGNue7k/hqdefault.jpg', 'width': 480, 'height': 360}}",Obehi Ewanfoh,none,2025-11-20T00:30:09Z,80D_gGNue7k,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/80D_gGNue7k"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
14,2025-11-20T00:15:12Z,UCiinSjWS3E0vtAa3DCvp7iA,Charlotte High Schoolers Walk Out In Response to Border Patrol Arrests,This is an attack on families and people who work hard!” Students in Charlotte walked out of classes to protest “Operation ...,"{'default': {'url': 'https://i.ytimg.com/vi/zZN1CejrqQk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zZN1CejrqQk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zZN1CejrqQk/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2025-11-20T00:15:12Z,zZN1CejrqQk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/zZN1CejrqQk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
17,2025-11-19T23:00:58Z,UCv8G-xZ_BBGufjbN6jbvLMQ,I Quit Every Job - Comedian McGriff - Chocolate Sundaes Stand Up Comedy,It doesn't take much for comedian McGriff to quit a job. Follow McGriff on social media @funnymcgriff Filmed 10/26/25 ...,"{'default': {'url': 'https://i.ytimg.com/vi/k0XN3XbRglw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/k0XN3XbRglw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/k0XN3XbRglw/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2025-11-19T23:00:58Z,k0XN3XbRglw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/k0XN3XbRglw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
26,2025-11-19T19:06:16Z,UCi2uaWdy6OTf4Ty7DVC_7lw,"MEET The Marwa APPALOOSAS Stud Team , READY FOR THE TASK  !!!","Hello family , welcome to my YouTube channel iam_marwa , i hope you have enjoyed this video WOW WOW APPASSOSAS Have ...","{'default': {'url': 'https://i.ytimg.com/vi/ALmbUxfwdMg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ALmbUxfwdMg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ALmbUxfwdMg/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2025-11-19T19:06:16Z,ALmbUxfwdMg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ALmbUxfwdMg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
31,2025-11-19T19:00:04Z,UCKLSjhp6XZUEYDT1DMcrj8w,WESTERN BULLY FALLS! 🌍 Brian Kagoro’s POWERFUL G20 Speech SHOCKS the World,"African lawyer and Pan-African voice Brian Kagoro has delivered a powerful and fearless message at the G20, exposing decades ...","{'default': {'url': 'https://i.ytimg.com/vi/3Fdf-2yA364/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3Fdf-2yA364/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3Fdf-2yA364/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2025-11-19T19:00:04Z,3Fdf-2yA364,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/3Fdf-2yA364"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
55,2025-11-19T18:36:04Z,UCHvnMsLnyQZscrq-fOckiiw,#BlackTreeHealthTips | “Foods that affect Sex Drive” | Dr. Rachael Reports | #ED #Libido #Alcohol,,"{'default': {'url': 'https://i.ytimg.com/vi/OhDvgv9_TKI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/OhDvgv9_TKI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/OhDvgv9_TKI/hqdefault.jpg', 'width': 480, 'height': 360}}",BlackTree TV,none,2025-11-19T18:36:04Z,OhDvgv9_TKI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/OhDvgv9_TKI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
35,2025-11-19T18:00:27Z,UCrPq2ekHx2vZtuyG3wUx0_g,This Little-known Woman Made Millions As A Black Hair Care Mogul | Rose Meta Morgan,"In the late 1930s, Morgan's talent put her in front of a star: after styling Ethel Waters' hair in 1938, she was invited to New York.","{'default': {'url': 'https://i.ytimg.com/vi/PiBDwy47V_w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PiBDwy47V_w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PiBDwy47V_w/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants ,none,2025-11-19T18:00:27Z,PiBDwy47V_w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/PiBDwy47V_w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
18,2025-11-19T17:50:15Z,UCABZ7Z6SBTp4IsARDceOq7w,Black People &#39;Respond&#39; To &#39;Quarter Zips&#39; Replacing &#39;Thug Attire&#39; And White Users Taking It - HP News,https://hypersclub.com/ - Young black users are looking to change their style from jogging suits to quarter zip pullover shirts.,"{'default': {'url': 'https://i.ytimg.com/vi/gy-kzluA3Ww/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gy-kzluA3Ww/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gy-kzluA3Ww/hqdefault.jpg', 'width': 480, 'height': 360}}",HYPE+,none,2025-11-19T17:50:15Z,gy-kzluA3Ww,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/gy-kzluA3Ww"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
52,2025-11-19T15:57:24Z,UCXyHjFIKz9D8ofxObOuYBbg,Therapy creates narcissists (revised),WeNeedToTalk #BlackLove To support our ministry: https://cash.app/$wnttalk Please SUBSCRIBE for more content!,"{'default': {'url': 'https://i.ytimg.com/vi/Zg127VQCd80/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Zg127VQCd80/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Zg127VQCd80/hqdefault.jpg', 'width': 480, 'height': 360}}",WeNeedToTalk,none,2025-11-19T15:57:24Z,Zg127VQCd80,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Zg127VQCd80"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
32,2025-11-19T12:48:38Z,UC4YZVeGnDXzEfjGcZG-d6oQ,Reading Through the Bible Ep 95 - 2 Samuel 8 - David&#39;s Military Victories,New to streaming or looking to level up? Check out StreamYard and get $10 discount!,"{'default': {'url': 'https://i.ytimg.com/vi/xWLvbqXVn80/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xWLvbqXVn80/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xWLvbqXVn80/hqdefault.jpg', 'width': 480, 'height': 360}}",meandepiphany,none,2025-11-19T12:48:38Z,xWLvbqXVn80,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xWLvbqXVn80"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
