,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
16,2025-12-10T03:52:10Z,UCL0u5uz7KZ9q-pe-VC8TY-w,Responding to Tim Pool&#39;s hissy fit.,,"{'default': {'url': 'https://i.ytimg.com/vi/c2QrgHVPsVQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/c2QrgHVPsVQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/c2QrgHVPsVQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Candace Owens,none,2025-12-10T03:52:10Z,c2QrgHVPsVQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/c2QrgHVPsVQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
55,2025-12-10T03:14:01Z,UCHvnMsLnyQZscrq-fOckiiw,I broke down how Hollywood will use AI &amp; if Tilly Norwood is here to stay on China’s CGTN station,,"{'default': {'url': 'https://i.ytimg.com/vi/uDANrlSEJ_8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uDANrlSEJ_8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uDANrlSEJ_8/hqdefault.jpg', 'width': 480, 'height': 360}}",BlackTree TV,none,2025-12-10T03:14:01Z,uDANrlSEJ_8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/uDANrlSEJ_8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
5,2025-12-10T02:55:02Z,UCJa58Tf70HC5q2oQDNBrJ2g,Unlock Learning: The Power of Repetition &amp; Memory #shorts,"Want to learn faster? It's about repetition! Intentional or not, repeated exposure reinforces information through all senses. Tap into ...","{'default': {'url': 'https://i.ytimg.com/vi/HJGAGNMG3AQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HJGAGNMG3AQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HJGAGNMG3AQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Obehi Ewanfoh,none,2025-12-10T02:55:02Z,HJGAGNMG3AQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HJGAGNMG3AQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
4,2025-12-10T02:20:09Z,UCKZGcrxRAhdUi58Mdr565mw,"Somali Woman Says Black Americans Are Coming For Them, Nigerian Caught Scamming $7M From US Gov",Welcome to African Diaspora News Channel — Where We Speak Truth to Power. We bring you unapologetic news and ...,"{'default': {'url': 'https://i.ytimg.com/vi/8TtU7WZX4nA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8TtU7WZX4nA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8TtU7WZX4nA/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2025-12-10T02:20:09Z,8TtU7WZX4nA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8TtU7WZX4nA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
40,2025-12-10T01:53:02Z,UC2rmgVaijnf92nixlIZWGmg,Nigeria Violated Burkina Faso&#39;s Airspace....Here&#39;s The Problem 📱,Nigeria Violated Burkina Faso's Airspace....Here's The Problem Patreon: https://www.patreon.com/searchforuhuru Instagram: ...,"{'default': {'url': 'https://i.ytimg.com/vi/O7wPRjUQLsk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/O7wPRjUQLsk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/O7wPRjUQLsk/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2025-12-10T01:53:02Z,O7wPRjUQLsk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/O7wPRjUQLsk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
52,2025-12-10T01:47:48Z,UCXyHjFIKz9D8ofxObOuYBbg,FBA v Non-FBA 📱,WeNeedToTalk #BlackLove To support our ministry: https://cash.app/$wnttalk Please SUBSCRIBE for more content!,"{'default': {'url': 'https://i.ytimg.com/vi/T4K2vVuS_UI/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/T4K2vVuS_UI/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/T4K2vVuS_UI/hqdefault_live.jpg', 'width': 480, 'height': 360}}",WeNeedToTalk,live,2025-12-10T01:47:48Z,T4K2vVuS_UI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/T4K2vVuS_UI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
25,2025-12-10T00:39:14Z,UCwZ2vurIl_X8rv0Dv4mu12A,🔥Fire Burn &#39;Fyah Bun&#39;🔥#stcroix #BlackHistory #BlacksSlaveRevolts,,"{'default': {'url': 'https://i.ytimg.com/vi/2rsWpGH_gBc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2rsWpGH_gBc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2rsWpGH_gBc/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2025-12-10T00:39:14Z,2rsWpGH_gBc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/2rsWpGH_gBc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
36,2025-12-09T22:29:19Z,UCMe6CgCi6TSZX1tUxuUvCGg,"Black Excellence in African Indigenous Spirituality with Imboni, Dr. uZwi-Lezwe Radebe.","SSMR 10th Memorial Lectures – A Historic Gathering Under the Patronage of Emperor Imboni, Dr. uZwi-Lezwe Radebe Cape ...","{'default': {'url': 'https://i.ytimg.com/vi/Zu5i1a53q34/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Zu5i1a53q34/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Zu5i1a53q34/hqdefault.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV -PADTV,none,2025-12-09T22:29:19Z,Zu5i1a53q34,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Zu5i1a53q34"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
18,2025-12-09T21:30:14Z,UCABZ7Z6SBTp4IsARDceOq7w,Choke No Joke &#39;Shockingly Announces&#39; Suge Knight Ordered Hit On 2Pac Allegation: &quot;Suge Lied To Me&quot;,https://hypersclub.com/ - Choke No Joke returns to HYPE+ in response to the new Diddy Netflix documentary from 50 Cent. Choke ...,"{'default': {'url': 'https://i.ytimg.com/vi/pERRPBOEsY8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pERRPBOEsY8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pERRPBOEsY8/hqdefault.jpg', 'width': 480, 'height': 360}}",HYPE+,none,2025-12-09T21:30:14Z,pERRPBOEsY8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/pERRPBOEsY8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
31,2025-12-09T21:29:38Z,UCKLSjhp6XZUEYDT1DMcrj8w,PLO Lumumba Confronts Tinubu and Macron Amid Rising Fears of ECOWAS Downfall,Prof. PLO Lumumba has delivered a powerful message shaking West Africa's political landscape. As tensions rise between ...,"{'default': {'url': 'https://i.ytimg.com/vi/HFSohUWxXm4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HFSohUWxXm4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HFSohUWxXm4/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2025-12-09T21:29:38Z,HFSohUWxXm4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HFSohUWxXm4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
