,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
21,2024-06-07T03:57:39Z,UCOhiR-6Y-MZtMERKRENrcRw,African Americans and Diaspora share how corrupt Ghana is with land scams,https://youtu.be/bZj8luy0KTI?si=hiQqGRazQg7Up99n https://youtu.be/0uBZnUvMsSE?si=uiUUg5CTi3j1Dk1e ...,"{'default': {'url': 'https://i.ytimg.com/vi/UNQ2U-7jiuU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UNQ2U-7jiuU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UNQ2U-7jiuU/hqdefault.jpg', 'width': 480, 'height': 360}}",GoBlack2Africa ,none,2024-06-07T03:57:39Z,UNQ2U-7jiuU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UNQ2U-7jiuU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
17,2024-06-07T01:33:11Z,UCABZ7Z6SBTp4IsARDceOq7w,Camille Winbush Reveals Working Regular Jobs After &#39;Bernie Mac Show&#39;: &quot;Acting Is A Gamble&quot;,"https://hypersclub.com/ - Continuing our talk with Camille WInbush, the veteran actress shares being ok with working everyday ...","{'default': {'url': 'https://i.ytimg.com/vi/IcWE0hOPvrk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IcWE0hOPvrk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IcWE0hOPvrk/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-06-07T01:33:11Z,IcWE0hOPvrk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/IcWE0hOPvrk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
5,2024-06-07T01:09:41Z,UCKZGcrxRAhdUi58Mdr565mw,The Oppression Of Them Folks Helped Us Find Our Elite Employees,Phillip Scott reports on how them folks' oppression of us in all our jobs helped us become elite employees who deliver for our ...,"{'default': {'url': 'https://i.ytimg.com/vi/V2ic0dJSSNE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/V2ic0dJSSNE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/V2ic0dJSSNE/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-06-07T01:09:41Z,V2ic0dJSSNE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/V2ic0dJSSNE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
44,2024-06-07T00:43:41Z,UC4m46pCBkMEyy8gk26WKqbA,| The 85 South Show,85southshow Watch the real now on https://www.channeleightyfive.com/,"{'default': {'url': 'https://i.ytimg.com/vi/ROZXaAacwNs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ROZXaAacwNs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ROZXaAacwNs/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2024-06-07T00:43:41Z,ROZXaAacwNs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ROZXaAacwNs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
48,2024-06-06T22:37:32Z,UCPQsrvUJzs1INc2hroy3nHw,"Speed Dating Africa, Come find your match",PDS LIVE.,"{'default': {'url': 'https://i.ytimg.com/vi/4pnvVGIxxOA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4pnvVGIxxOA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4pnvVGIxxOA/hqdefault.jpg', 'width': 480, 'height': 360}}",The Pan African Dating Show,none,2024-06-06T22:37:32Z,4pnvVGIxxOA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/4pnvVGIxxOA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
39,2024-06-06T22:33:32Z,UC2rmgVaijnf92nixlIZWGmg,"BLM, DEI, George Floyd, &amp;The  Fearless Fund: Why The White Guilt Money Is Drying Up","BLM, DEI, George Floyd, &The Fearless Fund: Why The White Guilt Money Is Drying Up Cash App: $amirdynast Please Subscribe ...","{'default': {'url': 'https://i.ytimg.com/vi/MTRPYx6bBN4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/MTRPYx6bBN4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/MTRPYx6bBN4/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2024-06-06T22:33:32Z,MTRPYx6bBN4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/MTRPYx6bBN4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
19,2024-06-06T22:00:16Z,UCRVsqvXIdgyPVS-a6fGa1lA,Should Nvidia Be Added to the Dow?,"In this clip of Market Mondays, Ian Dunlap dives into a compelling discussion about whether Nvidia should be added to the Dow ...","{'default': {'url': 'https://i.ytimg.com/vi/PyERw4fS8Ns/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PyERw4fS8Ns/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PyERw4fS8Ns/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-06-06T22:00:16Z,PyERw4fS8Ns,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/PyERw4fS8Ns"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
6,2024-06-06T22:00:12Z,UCJa58Tf70HC5q2oQDNBrJ2g,7 Life Principles of Interconnectedness in African Spirituality – Learning From The Masters,"Have you heard of the term, interconnectedness? How does it resonate with you and what sense do you make of it? Well ...","{'default': {'url': 'https://i.ytimg.com/vi/Ac2s-q4u8OA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Ac2s-q4u8OA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Ac2s-q4u8OA/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs - From The Masters,none,2024-06-06T22:00:12Z,Ac2s-q4u8OA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Ac2s-q4u8OA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
7,2024-06-06T21:34:14Z,UCepJ2MwkHah89uXokQVgUrA,Racist Kills South African Over Pro-Palestine Views | Mother Murdered in front of 10-year-old,"Today we report on a tragic incident in Durban South Africa where Grayson Beare, a self-declared former Zionist and estranged ...","{'default': {'url': 'https://i.ytimg.com/vi/H5Ek2i5xZjY/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/H5Ek2i5xZjY/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/H5Ek2i5xZjY/hqdefault_live.jpg', 'width': 480, 'height': 360}}",African Stream,upcoming,2024-06-06T21:34:14Z,H5Ek2i5xZjY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/H5Ek2i5xZjY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
35,2024-06-06T21:04:53Z,UCMe6CgCi6TSZX1tUxuUvCGg,PLO FOUNDATION MENTEES SERIES COMING UP LIVE NOW ON PAN-AFRICAN DAILY TV with Dr Susan Tatah,"Youth of Africa must have a mastery of their continent's socio economic culture, history and political trajectory. The reason why ...","{'default': {'url': 'https://i.ytimg.com/vi/4becCzAQRhc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/4becCzAQRhc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/4becCzAQRhc/hqdefault.jpg', 'width': 480, 'height': 360}}",Pan-African Daily TV,none,2024-06-06T21:04:53Z,4becCzAQRhc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/4becCzAQRhc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
