,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
13,2024-07-16T03:08:12Z,UCIxrFTHZybtTgq8X7itOAkQ,Why I Love Jamaica,,"{'default': {'url': 'https://i.ytimg.com/vi/tTNfqGUNDpQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tTNfqGUNDpQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tTNfqGUNDpQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Blackman Da Traveller,none,2024-07-16T03:08:12Z,tTNfqGUNDpQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/tTNfqGUNDpQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
7,2024-07-16T02:33:32Z,UCepJ2MwkHah89uXokQVgUrA,5 Worst U.S. Presidents For Africa,"When you think of the exploitation of Africans, powers like Britain, France and Germany spring first and foremost to mind. But let's ...","{'default': {'url': 'https://i.ytimg.com/vi/tji_ASjpsyM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/tji_ASjpsyM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/tji_ASjpsyM/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-07-16T02:33:32Z,tji_ASjpsyM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/tji_ASjpsyM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
19,2024-07-16T00:00:06Z,UCRVsqvXIdgyPVS-a6fGa1lA,"Trump Survives: Will Stocks Skyrocket? What Will Bitcoin Fall To, Companies to Invest In, &amp; Biden","In this episode of Market Mondays, we dive deep into the latest and most significant market news: - **Google's Potential ...","{'default': {'url': 'https://i.ytimg.com/vi/NhoawHHbjhg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NhoawHHbjhg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NhoawHHbjhg/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-07-16T00:00:06Z,NhoawHHbjhg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/NhoawHHbjhg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
14,2024-07-15T23:30:02Z,UCiinSjWS3E0vtAa3DCvp7iA,Netanyahu Is Coming to Washington to Address Congress. Activists Are Mobilizing to Arrest Him.,Benjamin Netanyahu is coming to Washington to address Congress on July 24th. Activists are calling for a mass mobilization to ...,"{'default': {'url': 'https://i.ytimg.com/vi/LTKCGxRzeys/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LTKCGxRzeys/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LTKCGxRzeys/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2024-07-15T23:30:02Z,LTKCGxRzeys,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LTKCGxRzeys"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
48,2024-07-15T23:03:38Z,UCPQsrvUJzs1INc2hroy3nHw,Speed Dating Africa: Find YOUR MATCH,hello hey.,"{'default': {'url': 'https://i.ytimg.com/vi/A_FXetLfW6M/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/A_FXetLfW6M/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/A_FXetLfW6M/hqdefault_live.jpg', 'width': 480, 'height': 360}}",The Pan African Dating Show,upcoming,2024-07-15T23:03:38Z,A_FXetLfW6M,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/A_FXetLfW6M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
17,2024-07-15T22:31:14Z,UCABZ7Z6SBTp4IsARDceOq7w,Eddie Griffin Calls Out Trump&#39;s Assassination Attempt: &quot;Staged.. Guaranteed Win&quot; - CH News Show,https://hypersclub.com/ - Eddie Griffin joins the list of high profiled celebs who believe former president Trump's assassination ...,"{'default': {'url': 'https://i.ytimg.com/vi/yWtw7jvjU6w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/yWtw7jvjU6w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/yWtw7jvjU6w/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-07-15T22:31:14Z,yWtw7jvjU6w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/yWtw7jvjU6w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
18,2024-07-15T22:12:38Z,UCwbP4USYrniJGROwQNiwH-Q,Millionaires Don&#39;t Want To GIVE ME MONEY,Book Your 1-On-1 60-Minute Advice Consultations Here: https://calendly.com/deedeewoods4real Join My Patreon Here: ...,"{'default': {'url': 'https://i.ytimg.com/vi/GpchTaoCQK8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GpchTaoCQK8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GpchTaoCQK8/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2024-07-15T22:12:38Z,GpchTaoCQK8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GpchTaoCQK8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
34,2024-07-15T21:19:17Z,UCrPq2ekHx2vZtuyG3wUx0_g,White America Is Sick Of You Negros | Jesse Lee Peterson Breakdown Clip,OTSOG Book Review List link: https://amzn.to/4b5LcrU cashapp: $joeward84 Follow us on Instagram @ontheshoulders1 Visit us ...,"{'default': {'url': 'https://i.ytimg.com/vi/aXl6RWfJEWs/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/aXl6RWfJEWs/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/aXl6RWfJEWs/hqdefault_live.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,upcoming,2024-07-15T21:19:17Z,aXl6RWfJEWs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/aXl6RWfJEWs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
30,2024-07-15T21:00:18Z,UCKLSjhp6XZUEYDT1DMcrj8w,Special Thanks to Make Afrika Great,"Please SUBSCRIBE, LIKE, COMMENT and Share, Thank for Watching #Love #Peace #AfricanSolutions.","{'default': {'url': 'https://i.ytimg.com/vi/LGKho0Ef35E/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LGKho0Ef35E/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LGKho0Ef35E/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-07-15T21:00:18Z,LGKho0Ef35E,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LGKho0Ef35E"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
16,2024-07-15T21:00:09Z,UCv8G-xZ_BBGufjbN6jbvLMQ,Let Caitlin Clark Win! - Comedian Rell Battle - Chocolate Sundaes Standup Comedy,"For the sake of the league, let Caitlin win! Follow @rell821 on social media: @rellbattle Originally filmed 6/16/24 Videographer: ...","{'default': {'url': 'https://i.ytimg.com/vi/AvbjDC0xnqo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AvbjDC0xnqo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AvbjDC0xnqo/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2024-07-15T21:00:09Z,AvbjDC0xnqo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/AvbjDC0xnqo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
