,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
31,2024-03-03T03:15:04Z,UCepJ2MwkHah89uXokQVgUrA,Eritrea: Africa’s Most Independent State? #Shorts,"If you've ever paid attention to how Western media talks about Eritrea, you're sure to notice that it's not very positive. Often labelled ...","{'default': {'url': 'https://i.ytimg.com/vi/qC-KhsbFWk0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qC-KhsbFWk0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qC-KhsbFWk0/hqdefault.jpg', 'width': 480, 'height': 360}}",African Stream,none,2024-03-03T03:15:04Z,qC-KhsbFWk0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qC-KhsbFWk0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
4,2024-03-03T00:34:11Z,UCh2ANLALdN1OZUJKmvchkkg,How We Are Dodging Fake History This Year 😂,,"{'default': {'url': 'https://i.ytimg.com/vi/W-zCga_PWgk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/W-zCga_PWgk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/W-zCga_PWgk/hqdefault.jpg', 'width': 480, 'height': 360}}",Mr. Imhotep,none,2024-03-03T00:34:11Z,W-zCga_PWgk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/W-zCga_PWgk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
22,2024-03-02T23:00:30Z,UCJa58Tf70HC5q2oQDNBrJ2g,HONORING YOUR ANCESTORS #honoringourheroes  #ancestorworship,HONORING YOUR ANCESTORS. #AfricanDocs uploads multiple videos every week. Subscribe to be notified of our next upload!,"{'default': {'url': 'https://i.ytimg.com/vi/_qQu67O9bgw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_qQu67O9bgw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_qQu67O9bgw/hqdefault.jpg', 'width': 480, 'height': 360}}",African Docs,none,2024-03-02T23:00:30Z,_qQu67O9bgw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/_qQu67O9bgw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
6,2024-03-02T23:00:14Z,UCRVsqvXIdgyPVS-a6fGa1lA,How to Manifest Your Dreams: 3 Essential Steps,"In this clip, Ian Dunlap and Rashad Bilal discuss the three essential steps to making your dreams or manifestations come true.","{'default': {'url': 'https://i.ytimg.com/vi/YLZZYWGB-JI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YLZZYWGB-JI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YLZZYWGB-JI/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-03-02T23:00:14Z,YLZZYWGB-JI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/YLZZYWGB-JI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Productivity
38,2024-03-02T22:26:18Z,UCTTQWaoGloNuhunZevQ2F6g,AI A Threat To African Economies,Artificial Intelligence (AI) will be a major economic disruptor. This chat explores some of the significant ways AI will affect African ...,"{'default': {'url': 'https://i.ytimg.com/vi/N04XsULni1Q/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/N04XsULni1Q/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/N04XsULni1Q/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Africa Business Channel TV,upcoming,2024-03-02T22:26:18Z,N04XsULni1Q,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/N04XsULni1Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Productivity
7,2024-03-02T22:00:16Z,UCDsOKnUQnQek7-G7Xc5kB8Q,Cashflow vs Revenue - Donni Wiggins - Social Proof Podcast ep. 442,Watch Full Episode: https://youtu.be/awjkAIZ4ETk?si=QKSQT5XIHqlG4jSl #entrepreneur #smallbusiness #podcast #howto In this ...,"{'default': {'url': 'https://i.ytimg.com/vi/dPRAaYurKaI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dPRAaYurKaI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dPRAaYurKaI/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-03-02T22:00:16Z,dPRAaYurKaI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dPRAaYurKaI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Productivity
1,2024-03-02T21:13:44Z,UC__wkIWEfbnTAYVT8j6gfPg,A Message to Metatron,"In response to Metetron's response to Kuelimika we have a message for Metetron. This statement by Egyptian born Egyptologist, ...","{'default': {'url': 'https://i.ytimg.com/vi/gXkOq6_eDPc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/gXkOq6_eDPc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/gXkOq6_eDPc/hqdefault.jpg', 'width': 480, 'height': 360}}",Know Thyself,none,2024-03-02T21:13:44Z,gXkOq6_eDPc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/gXkOq6_eDPc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",History
12,2024-03-02T21:00:22Z,UCKZGcrxRAhdUi58Mdr565mw,South Africans Outraged After Anti-Black Indian Teacher Calls Students “Monkey”,Naledi Mfoloe reports on a racist teacher who was suspended for allegedly calling black pupils monkeys.,"{'default': {'url': 'https://i.ytimg.com/vi/VleqDR5xvnM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/VleqDR5xvnM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/VleqDR5xvnM/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-03-02T21:00:22Z,VleqDR5xvnM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/VleqDR5xvnM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
19,2024-03-02T19:34:19Z,UCG7uFJVZsxQRwDssom9Pavw,Remembering Adwa Ethiopia&#39;s Brave Stand Against Italy,Welcome to Africa time machine where we expertly restore and colorize old footage of African historical significance. Today's ...,"{'default': {'url': 'https://i.ytimg.com/vi/xUFE__7PeUQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xUFE__7PeUQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xUFE__7PeUQ/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-03-02T19:34:19Z,xUFE__7PeUQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xUFE__7PeUQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
20,2024-03-02T19:15:19Z,UCi2uaWdy6OTf4Ty7DVC_7lw,NYABOHANSE Telenovela Continues ... Raw &amp; Uncut  !!!,"Hello family , welcome to my YouTube channel iam_marwa ,Uncomfortable Questions With @Burundian_Traveller as ...","{'default': {'url': 'https://i.ytimg.com/vi/C4RdmigI-zA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/C4RdmigI-zA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/C4RdmigI-zA/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-03-02T19:15:19Z,C4RdmigI-zA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/C4RdmigI-zA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Travel
8,2024-03-02T18:52:43Z,UCKLSjhp6XZUEYDT1DMcrj8w,Barbados Prime Minister Announces March Deadline for CARICOM Free Movement,"Barbados Prime Minister Announces March Deadline for CARICOM Free Movement. Please SUBSCRIBE, LIKE, COMMENT and ...","{'default': {'url': 'https://i.ytimg.com/vi/kYFnbv31Gys/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kYFnbv31Gys/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kYFnbv31Gys/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-03-02T18:52:43Z,kYFnbv31Gys,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kYFnbv31Gys"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Current Events
18,2024-03-02T17:34:10Z,UCrPq2ekHx2vZtuyG3wUx0_g,Black America Is Playing The Wrong Game,,"{'default': {'url': 'https://i.ytimg.com/vi/Aj1MK6UBueo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Aj1MK6UBueo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Aj1MK6UBueo/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-03-02T17:34:10Z,Aj1MK6UBueo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Aj1MK6UBueo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>",Social Issues
