,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
42,2026-06-25T03:56:27Z,UCwbP4USYrniJGROwQNiwH-Q,COOKING For A Woman Means YOU&#39;RE BROKE Now?! | You Can&#39;t Make This Up,"Husband's NEW Singles Here: Purchase HERE: https://paigeandderson.bandcamp.com/track/lifetime-3 Hey Loves, Make Sure ...","{'default': {'url': 'https://i.ytimg.com/vi/LWE-hx9Xkw8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LWE-hx9Xkw8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LWE-hx9Xkw8/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDeesReactions,none,2026-06-25T03:56:27Z,LWE-hx9Xkw8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LWE-hx9Xkw8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
36,2026-06-25T03:23:13Z,UCRVsqvXIdgyPVS-a6fGa1lA,"THE MUSIC INDUSTRY’S BIGGEST SECRETS EXPOSED! 🤯 Loyalty, Fake Food &amp; Hip-Hop w/ Ray Daniels",Ray Daniels pulled up to BlackOut for one of the most candid conversations we've had. We broke down the music industry's ...,"{'default': {'url': 'https://i.ytimg.com/vi/U5jRTj6hm1Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/U5jRTj6hm1Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/U5jRTj6hm1Q/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2026-06-25T03:23:13Z,U5jRTj6hm1Q,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/U5jRTj6hm1Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
72,2026-06-25T03:00:33Z,UCAvjYgmwadC682OoC4Cc6TQ,Skip is out on AJ Dybantsa,The Arena reacts to the superstar from BYU getting drafted by the Washington Wizards with the 1st overall pick in the NBA Draft ...,"{'default': {'url': 'https://i.ytimg.com/vi/Mzd2pSyvvt0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Mzd2pSyvvt0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Mzd2pSyvvt0/hqdefault.jpg', 'width': 480, 'height': 360}}",The Arena,none,2026-06-25T03:00:33Z,Mzd2pSyvvt0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Mzd2pSyvvt0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Sports
69,2026-06-25T03:00:19Z,UCHzCimqhvPhCH75h80pXM1Q,Business Lessons: Adapt to AI &amp; Future Trends Now!,"The business landscape shifts constantly. Don't just protect your cashflow, invest in where the world is going. AI and quantum ...","{'default': {'url': 'https://i.ytimg.com/vi/PlHyLLwOz1g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PlHyLLwOz1g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PlHyLLwOz1g/hqdefault.jpg', 'width': 480, 'height': 360}}",The Black Business School  ,none,2026-06-25T03:00:19Z,PlHyLLwOz1g,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/PlHyLLwOz1g"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
37,2026-06-25T02:35:16Z,UCDsOKnUQnQek7-G7Xc5kB8Q,"June 24, 2026",,"{'default': {'url': 'https://i.ytimg.com/vi/jU0hX7p7QWY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/jU0hX7p7QWY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/jU0hX7p7QWY/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2026-06-25T02:35:16Z,jU0hX7p7QWY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/jU0hX7p7QWY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
70,2026-06-25T02:30:38Z,UCQoxJOkwaCgyzQtiuAIDcuw,Angela Simmons On $400K Hermés Bag: &quot;It&#39;s like owning property.&quot; I CLUB SHAY SHAY,"Angela Simmons On $400K Hermés Bag: ""It's like owning property."" ""We love Hermés."" - Angela Simmons #ClubShayShay​ ...","{'default': {'url': 'https://i.ytimg.com/vi/nrHLcxY0zaI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nrHLcxY0zaI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nrHLcxY0zaI/hqdefault.jpg', 'width': 480, 'height': 360}}",Club Shay Shay,none,2026-06-25T02:30:38Z,nrHLcxY0zaI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/nrHLcxY0zaI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
3,2026-06-25T02:25:35Z,UCL0u5uz7KZ9q-pe-VC8TY-w,Dave Rubin Gets Fraud Checked on Jubilee...,,"{'default': {'url': 'https://i.ytimg.com/vi/hmxMs2EQXDg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hmxMs2EQXDg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hmxMs2EQXDg/hqdefault.jpg', 'width': 480, 'height': 360}}",Candace Owens,none,2026-06-25T02:25:35Z,hmxMs2EQXDg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/hmxMs2EQXDg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
63,2026-06-25T02:11:39Z,UC2rmgVaijnf92nixlIZWGmg,Africa Has Brain Drain… But What About Athlete Drain? 📱,"Africa has long been part of the global conversation around brain drain — doctors, engineers, students, and professionals leaving ...","{'default': {'url': 'https://i.ytimg.com/vi/bBAUcRsIxKg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bBAUcRsIxKg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bBAUcRsIxKg/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2026-06-25T02:11:39Z,bBAUcRsIxKg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/bBAUcRsIxKg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
46,2026-06-25T02:00:32Z,UCbB_WVM-e7nuhWd_FB_8KBQ,Gina Yashere Hired Blacks &amp; Africans On Bob Hearts Abishola | One54 Africa Podcast,"""I was like, 'I want to do what the white guys do.'"" - Gina #ginayashere #sitcom #cbs FULL EPISODE: ...","{'default': {'url': 'https://i.ytimg.com/vi/HQ6yNDTraNI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HQ6yNDTraNI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HQ6yNDTraNI/hqdefault.jpg', 'width': 480, 'height': 360}}",One54 Africa,none,2026-06-25T02:00:32Z,HQ6yNDTraNI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HQ6yNDTraNI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
1,2026-06-25T00:45:19Z,UCKZGcrxRAhdUi58Mdr565mw,Karmelo Anthony Will Have A Fighting Chance After New Team Of Credible Lawyers Take The Case,"African Diaspora News Channel, founded by Phillip Scott, is human-led, Black-centered media committed to speaking truth to ...","{'default': {'url': 'https://i.ytimg.com/vi/SZRCTwZhL5o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/SZRCTwZhL5o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/SZRCTwZhL5o/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2026-06-25T00:45:19Z,SZRCTwZhL5o,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/SZRCTwZhL5o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
73,2026-06-25T00:32:19Z,UCSlLff7uX8i8uUpB1MnhN2Q,Did They Cross The Border? Or The Border Crossed Them??,LIVE EVERY WEDNESDAY 8:30AM PST| 10:30AM CST | 11:30AM EST Substack: https://theconsciouslee.substack.com Twitter: ...,"{'default': {'url': 'https://i.ytimg.com/vi/ktzpLYqA7p8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ktzpLYqA7p8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ktzpLYqA7p8/hqdefault.jpg', 'width': 480, 'height': 360}}",The Conscious Lee,none,2026-06-25T00:32:19Z,ktzpLYqA7p8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ktzpLYqA7p8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
