,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds,category
37,2024-07-03T02:22:13Z,UCPk29gUc_ltOGQ6f3Lh5kCg,Too Much Too Young: The Two-Tone Records Story is out now from Akashic Books,,"{'default': {'url': 'https://i.ytimg.com/vi/TasBMfXQi3M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TasBMfXQi3M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TasBMfXQi3M/hqdefault.jpg', 'width': 480, 'height': 360}}",Reelblack One,none,2024-07-03T02:22:13Z,TasBMfXQi3M,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TasBMfXQi3M"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
17,2024-07-03T01:09:02Z,UCABZ7Z6SBTp4IsARDceOq7w,"Earthquake Calls Out Trump&#39;s &#39;Immunity&#39; Win: &quot;We Don&#39;t Have A President Anymore, We Have A King&quot;",https://hypersclub.com/ - It appears Donald Trump has secured a needed win to continue out his presidency plans as the Supreme ...,"{'default': {'url': 'https://i.ytimg.com/vi/_hRZbcXlirI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_hRZbcXlirI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_hRZbcXlirI/hqdefault.jpg', 'width': 480, 'height': 360}}",Comedy Hype,none,2024-07-03T01:09:02Z,_hRZbcXlirI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/_hRZbcXlirI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
5,2024-07-03T01:08:09Z,UCKZGcrxRAhdUi58Mdr565mw,Black American Woman Says She Couldn&#39;t Believe How She Was Treated By African Immigrants,"Phillip Scott reports on a Black American Sista who loved Africa and its traditions. She was in a relationship with an African man, ...","{'default': {'url': 'https://i.ytimg.com/vi/RpKjsgJ2DVo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/RpKjsgJ2DVo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/RpKjsgJ2DVo/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-07-03T01:08:09Z,RpKjsgJ2DVo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/RpKjsgJ2DVo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
24,2024-07-02T23:09:21Z,UCwZ2vurIl_X8rv0Dv4mu12A,#kadamaweknife #doubt #fear #rastafari #ineverknewtv,,"{'default': {'url': 'https://i.ytimg.com/vi/18KaPbQ23nI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/18KaPbQ23nI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/18KaPbQ23nI/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2024-07-02T23:09:21Z,18KaPbQ23nI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/18KaPbQ23nI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
19,2024-07-02T22:45:01Z,UCRVsqvXIdgyPVS-a6fGa1lA,&quot;We Want Reparations!&quot; Will They Ever Come for Black Americans? 19Keys Ft RFK JR Part 7,"Join 19Keys Community 'High Lvl"" today https://highlvl.19keys.com/ To watch the full episode https://youtu.be/se6rf8UxuVM and ...","{'default': {'url': 'https://i.ytimg.com/vi/m4nkwLXqZ5c/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/m4nkwLXqZ5c/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/m4nkwLXqZ5c/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-07-02T22:45:01Z,m4nkwLXqZ5c,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/m4nkwLXqZ5c"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
48,2024-07-02T22:21:42Z,UCPQsrvUJzs1INc2hroy3nHw,The Pan African Dating Show Live: Find Your Match,here we go.,"{'default': {'url': 'https://i.ytimg.com/vi/UQngqUpAdq8/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UQngqUpAdq8/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UQngqUpAdq8/hqdefault_live.jpg', 'width': 480, 'height': 360}}",The Pan African Dating Show,upcoming,2024-07-02T22:21:42Z,UQngqUpAdq8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UQngqUpAdq8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
44,2024-07-02T22:19:46Z,UC4m46pCBkMEyy8gk26WKqbA,New Jack Thriller City Ft Phillip Hudson | Season 003 | EP 008,85southshow Watch the real now on https://www.channeleightyfive.com/,"{'default': {'url': 'https://i.ytimg.com/vi/CEDjEhphbZQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/CEDjEhphbZQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/CEDjEhphbZQ/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2024-07-02T22:19:46Z,CEDjEhphbZQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/CEDjEhphbZQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
6,2024-07-02T22:00:33Z,UCJa58Tf70HC5q2oQDNBrJ2g,Exploring The Diaspora Literature To Shape The Future – The Diaspora Storytelling Series,Are you looking to learn about Diaspora Literature? Then you are in the right place. Join us in this LinkedIn live Audio event where ...,"{'default': {'url': 'https://i.ytimg.com/vi/oZy8CZjhbSA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/oZy8CZjhbSA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/oZy8CZjhbSA/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora Storytelling,none,2024-07-02T22:00:33Z,oZy8CZjhbSA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/oZy8CZjhbSA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
14,2024-07-02T21:27:29Z,UCiinSjWS3E0vtAa3DCvp7iA,New York police shot and killed a 13 year-old refugee boy from Myanmar at point-blank range.,,"{'default': {'url': 'https://i.ytimg.com/vi/moddAHhBG5s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/moddAHhBG5s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/moddAHhBG5s/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2024-07-02T21:27:29Z,moddAHhBG5s,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/moddAHhBG5s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
18,2024-07-02T21:06:38Z,UCwbP4USYrniJGROwQNiwH-Q,Women Have LOST THEIR MINDS,Book Your 1-On-1 60-Minute Advice Consultations Here: https://calendly.com/deedeewoods4real Join My Patreon Here: ...,"{'default': {'url': 'https://i.ytimg.com/vi/8AcQFjmVAT8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/8AcQFjmVAT8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/8AcQFjmVAT8/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2024-07-02T21:06:38Z,8AcQFjmVAT8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/8AcQFjmVAT8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
