,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds
0,2024-02-04T11:53:29Z,UCHbmePHjGH3pklvSla6szWw,This is How Dr. Chancellor Williams and Dr. Cheikh Anta Diop Discovered That Kemet/Egypt Was Black,"In this video we look at how Dr. Chancellor Williams and Dr. Cheikh Anta Diop reached the same conclusion about Black Kemet, ...","{'default': {'url': 'https://i.ytimg.com/vi/3Zc9h4ac5cg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/3Zc9h4ac5cg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/3Zc9h4ac5cg/hqdefault.jpg', 'width': 480, 'height': 360}}",KueliMika,none,2024-02-04T11:53:29Z,3Zc9h4ac5cg,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/3Zc9h4ac5cg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
1,2023-11-04T04:04:22Z,UC__wkIWEfbnTAYVT8j6gfPg,The Black African Origin of Ancient Egypt,"In this episode we combine some of the most educational and entertaining lessons from the Know Thyself Docuseries, added ...","{'default': {'url': 'https://i.ytimg.com/vi/zYnUaRMSM_4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zYnUaRMSM_4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zYnUaRMSM_4/hqdefault.jpg', 'width': 480, 'height': 360}}",Know Thyself,none,2023-11-04T04:04:22Z,zYnUaRMSM_4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/zYnUaRMSM_4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
2,2024-01-31T14:14:06Z,UCjBw2SidW7wFElbmj9bgDjw,😳 Why this Nefertiti so SCARY?!?! 😱 #Nefertiti #reconstruction #kemet,,"{'default': {'url': 'https://i.ytimg.com/vi/KJaBAgwRSrc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KJaBAgwRSrc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KJaBAgwRSrc/hqdefault.jpg', 'width': 480, 'height': 360}}",The Kings Monologue,none,2024-01-31T14:14:06Z,KJaBAgwRSrc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/KJaBAgwRSrc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
3,2023-10-13T16:31:59Z,UC12lU5ymIvSpgl8KntDQUQA,Africans Were The First In The World To….,Patreon: https://www.patreon.com/HomeTeamHistory.,"{'default': {'url': 'https://i.ytimg.com/vi/XPItpcPzuXo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/XPItpcPzuXo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/XPItpcPzuXo/hqdefault.jpg', 'width': 480, 'height': 360}}",HomeTeam History,none,2023-10-13T16:31:59Z,XPItpcPzuXo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/XPItpcPzuXo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
4,2024-02-04T16:02:42Z,UCh2ANLALdN1OZUJKmvchkkg,The Tragic End of Pharaonic Dynasties: The Original Game of Thrones,Did you know that? Which event do you consider the most significant? Let me know in the comments below. For in depth content ...,"{'default': {'url': 'https://i.ytimg.com/vi/6LAhSW6zQXQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/6LAhSW6zQXQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/6LAhSW6zQXQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Mr. Imhotep,none,2024-02-04T16:02:42Z,6LAhSW6zQXQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/6LAhSW6zQXQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
5,2024-02-04T14:27:39Z,UCIwGnOXoSXEI7Tooz3iKq5w,The True origins of China and Japan revealed …,,"{'default': {'url': 'https://i.ytimg.com/vi/LywTPnjzyq0/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/LywTPnjzyq0/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/LywTPnjzyq0/hqdefault.jpg', 'width': 480, 'height': 360}}",Without History,none,2024-02-04T14:27:39Z,LywTPnjzyq0,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/LywTPnjzyq0"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
6,2024-02-04T23:00:23Z,UCRVsqvXIdgyPVS-a6fGa1lA,Understanding Samsung&#39;s Role in the Chip Market,"In this week's clip, we delve into the lesser-known world of Samsung's role in the chip market. Join us as we explore the impact of ...","{'default': {'url': 'https://i.ytimg.com/vi/qhh15mCDAts/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/qhh15mCDAts/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/qhh15mCDAts/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-02-04T23:00:23Z,qhh15mCDAts,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/qhh15mCDAts"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
7,2024-02-04T22:00:11Z,UCDsOKnUQnQek7-G7Xc5kB8Q,What Happens Once You Become Successful - David Shands - Full Transparency ep. 48,Watch Full Episode: https://youtu.be/gBsPzJ3YI38?si=t6x3DDRtU-K-R5De #entrepreneur #smallbusiness #podcast #howto In this ...,"{'default': {'url': 'https://i.ytimg.com/vi/HsZtJXdyxhQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HsZtJXdyxhQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HsZtJXdyxhQ/hqdefault.jpg', 'width': 480, 'height': 360}}",Social Proof,none,2024-02-04T22:00:11Z,HsZtJXdyxhQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HsZtJXdyxhQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
8,2024-02-04T18:15:36Z,UCKLSjhp6XZUEYDT1DMcrj8w,🔴 [REC]: Dr Arikana Response to Germany&#39;s $1.3bn to Namibia,"Welcome to our Platform, Provide Constructive ideas what we can do to bring changes in Africa. How we can Add Value to our ...","{'default': {'url': 'https://i.ytimg.com/vi/xDs1ui61FGA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/xDs1ui61FGA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/xDs1ui61FGA/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2024-02-04T18:15:36Z,xDs1ui61FGA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/xDs1ui61FGA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
9,2024-01-30T09:40:19Z,UCl6to6J7oVltnhHEVm1s87A,Trans-Atlantic Slave trade,"theperspective #africanhistory #africanews #africax5 Over the period of the Atlantic Slave Trade, from approximately 1526 to 1867 ...","{'default': {'url': 'https://i.ytimg.com/vi/rPcaqtQLJhw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/rPcaqtQLJhw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/rPcaqtQLJhw/hqdefault.jpg', 'width': 480, 'height': 360}}",Africax5 Network,none,2024-01-30T09:40:19Z,rPcaqtQLJhw,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/rPcaqtQLJhw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
