,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
5,2025-03-08T03:41:20Z,UCKZGcrxRAhdUi58Mdr565mw,WW Falsely Accuse An FBA Worker Of Smelling Like THC When The Brotha Doesn&#39;t Even Smoke,Phillip Scott reports on a WW falsely accusing a Brotha of smelling like THC while trying to do a job.,"{'default': {'url': 'https://i.ytimg.com/vi/2ruH5i34e_w/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/2ruH5i34e_w/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/2ruH5i34e_w/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2025-03-08T03:41:20Z,2ruH5i34e_w,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/2ruH5i34e_w"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
13,2025-03-08T00:03:39Z,UCiinSjWS3E0vtAa3DCvp7iA,Trump regime is preparing federal hate crimes charges and identifying foreign students to deport,,"{'default': {'url': 'https://i.ytimg.com/vi/Jwiv0nx2JnI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Jwiv0nx2JnI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Jwiv0nx2JnI/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2025-03-08T00:03:39Z,Jwiv0nx2JnI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Jwiv0nx2JnI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
17,2025-03-07T23:23:47Z,UCwbP4USYrniJGROwQNiwH-Q,We Are In a SINGLE MOTHER CRISIS!,Order Merch Here: https://deedees-apparel.creator-spring.com Join My Patreon Here: https://www.patreon.com/deedeesreactions ...,"{'default': {'url': 'https://i.ytimg.com/vi/GiLQWn6idzs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/GiLQWn6idzs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/GiLQWn6idzs/hqdefault.jpg', 'width': 480, 'height': 360}}",DeeDee,none,2025-03-07T23:23:47Z,GiLQWn6idzs,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/GiLQWn6idzs"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
36,2025-03-07T22:19:56Z,UCPk29gUc_ltOGQ6f3Lh5kCg,Reelblack x TL Cross | Why House Party Matters (3/8/2025),Reelblack Founder MIKE D is joined by cultural historian TL CROSS to discuss the importance and cultural impact of the movie ...,"{'default': {'url': 'https://i.ytimg.com/vi/cVjpCGPPVvY/default_live.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cVjpCGPPVvY/mqdefault_live.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cVjpCGPPVvY/hqdefault_live.jpg', 'width': 480, 'height': 360}}",Reelblack One,upcoming,2025-03-07T22:19:56Z,cVjpCGPPVvY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/cVjpCGPPVvY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
54,2025-03-07T21:15:02Z,UCZEMyEeGRnkGERZTWEGLGPg,The Betrayal of Black Miners in 1917 | Bisbee Deportation,"In 1917, one of the most shocking labor crackdowns in American history took place—the Bisbee Deportation. Over 1000 miners ...","{'default': {'url': 'https://i.ytimg.com/vi/N2fOnebu0r4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/N2fOnebu0r4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/N2fOnebu0r4/hqdefault.jpg', 'width': 480, 'height': 360}}",Black Culture Unlocked,none,2025-03-07T21:15:02Z,N2fOnebu0r4,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/N2fOnebu0r4"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
47,2025-03-07T21:00:57Z,UCPQsrvUJzs1INc2hroy3nHw,Are African Relationships Materialistic #shorts #funny,,"{'default': {'url': 'https://i.ytimg.com/vi/uygUg9g1cfY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uygUg9g1cfY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uygUg9g1cfY/hqdefault.jpg', 'width': 480, 'height': 360}}",The Pan African Dating Show (The-PDS),none,2025-03-07T21:00:57Z,uygUg9g1cfY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/uygUg9g1cfY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
15,2025-03-07T20:00:10Z,UCv8G-xZ_BBGufjbN6jbvLMQ,My Dad Was Old AF - Comedian Sydney Castillo - Chocolate Sundaes Standup Comedy,My Dad was hella old. Follow @Sydneyisfunny on social media: @sydneyisfunny Originally filmed 1/19/24 Videographer: Ivan ...,"{'default': {'url': 'https://i.ytimg.com/vi/HS6FDAuhWwA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/HS6FDAuhWwA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/HS6FDAuhWwA/hqdefault.jpg', 'width': 480, 'height': 360}}",Chocolate Sundaes Comedy,none,2025-03-07T20:00:10Z,HS6FDAuhWwA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/HS6FDAuhWwA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
6,2025-03-07T19:00:18Z,UCJa58Tf70HC5q2oQDNBrJ2g,Be interested in people and their well-being – Nathan Leli,"Be interested in people and their wellbeing – Nathan Leli, Research Assistant at OpiAID and community organizer for startups, ...","{'default': {'url': 'https://i.ytimg.com/vi/R0_Rhy0ceMU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/R0_Rhy0ceMU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/R0_Rhy0ceMU/hqdefault.jpg', 'width': 480, 'height': 360}}",AClasses Media,none,2025-03-07T19:00:18Z,R0_Rhy0ceMU,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/R0_Rhy0ceMU"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
33,2025-03-07T18:03:11Z,UCrPq2ekHx2vZtuyG3wUx0_g,It&#39;s Cool To Be A Ni**a | A Breakdown of Authentic Blackness,"OTSOG Book Review List Link: https://amzn.to/4b5LcrU Professor Carl Tone Jones: https://fetelifestation.com/ PACTS, Inc ...","{'default': {'url': 'https://i.ytimg.com/vi/q22cy89j_84/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/q22cy89j_84/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/q22cy89j_84/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants ,none,2025-03-07T18:03:11Z,q22cy89j_84,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/q22cy89j_84"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
29,2025-03-07T18:01:41Z,UCKLSjhp6XZUEYDT1DMcrj8w,Ethiopia Stuns the World Join Burkina Faso Now Producing &amp; Exporting Its Own Munitions.,"Ethiopia has made a groundbreaking leap in defense manufacturing, now producing and exporting its own munitions! In this video ...","{'default': {'url': 'https://i.ytimg.com/vi/AE2nIHAfRCE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/AE2nIHAfRCE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/AE2nIHAfRCE/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2025-03-07T18:01:41Z,AE2nIHAfRCE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/AE2nIHAfRCE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
