,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videoID,embeds,category
20,2025-01-31T02:15:09Z,UCOhiR-6Y-MZtMERKRENrcRw,Ron Dalton shares why Breakfast Club and Candice Owens refuse interview,Ron Dalton infamously known mainstream media as a anti-semtic who makes movies about African American's being Jews.,"{'default': {'url': 'https://i.ytimg.com/vi/UEDqpohASuk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UEDqpohASuk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UEDqpohASuk/hqdefault.jpg', 'width': 480, 'height': 360}}",GoBlack2Africa ,none,2025-01-31T02:15:09Z,UEDqpohASuk,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/UEDqpohASuk"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
6,2025-01-31T02:00:39Z,UCJa58Tf70HC5q2oQDNBrJ2g,Storytelling Masterclass for Businesses: An Introduction by Obehi Ewanfoh,"Join Obehi Ewanfoh in this masterclass where you'll learn the art of storytelling and how to use it to elevate your business, ...","{'default': {'url': 'https://i.ytimg.com/vi/r5QY0V2N_QE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/r5QY0V2N_QE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/r5QY0V2N_QE/hqdefault.jpg', 'width': 480, 'height': 360}}",AClasses Media,none,2025-01-31T02:00:39Z,r5QY0V2N_QE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/r5QY0V2N_QE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",History
49,2025-01-31T02:00:32Z,UCHVBLMcvOgDtFEF2bToQLqw,Trump blame Plane crash on DEI,Trump blame Plane crash on DEI #trump #trump2024 #trumpnews #candaceowensppdcast.,"{'default': {'url': 'https://i.ytimg.com/vi/TqJhi4Oa1D8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/TqJhi4Oa1D8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/TqJhi4Oa1D8/hqdefault.jpg', 'width': 480, 'height': 360}}",We Woke Now,none,2025-01-31T02:00:32Z,TqJhi4Oa1D8,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/TqJhi4Oa1D8"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Social Issues
18,2025-01-31T02:00:28Z,UCRVsqvXIdgyPVS-a6fGa1lA,"What to Know Before Buying a Home: Hidden Costs, &amp; Secrets to Save Big with Quiana Watson","Buying a home is one of the biggest financial decisions you'll ever make, and being prepared is the key to success. In this episode ...","{'default': {'url': 'https://i.ytimg.com/vi/dP3-pNX2VtM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/dP3-pNX2VtM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/dP3-pNX2VtM/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2025-01-31T02:00:28Z,dP3-pNX2VtM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/dP3-pNX2VtM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Productivity
38,2025-01-31T01:26:29Z,UC2rmgVaijnf92nixlIZWGmg,Trump Has Cut Off Aid To Africa....Should We Be Upset?,Trump Has Cut Off Aid To Africa....Should We Be Upset? Patreon: https://www.patreon.com/searchforuhuru Instagram: ...,"{'default': {'url': 'https://i.ytimg.com/vi/5F1fh6LZO-Q/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5F1fh6LZO-Q/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5F1fh6LZO-Q/hqdefault.jpg', 'width': 480, 'height': 360}}",Search For Uhuru,none,2025-01-31T01:26:29Z,5F1fh6LZO-Q,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5F1fh6LZO-Q"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
29,2025-01-31T01:23:37Z,UCKLSjhp6XZUEYDT1DMcrj8w,🔴 [LIVE] President Kagame Message to All African Leaders on CONGO Conflicts,"Securing Africa's Economic Future Amidst Rising Uncertainty. Welcome to our Platform, Provide Constructive ideas what we can ...","{'default': {'url': 'https://i.ytimg.com/vi/D7RgM8evB5s/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/D7RgM8evB5s/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/D7RgM8evB5s/hqdefault.jpg', 'width': 480, 'height': 360}}",Make Afrika Great ,none,2025-01-31T01:23:37Z,D7RgM8evB5s,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/D7RgM8evB5s"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
43,2025-01-31T00:15:19Z,UC4m46pCBkMEyy8gk26WKqbA,Broken Play | Navv Greene feat Throwed Off Juan &amp; Reggie Ball | S03 | EP 24,85southshow Watch the real now on https://www.channeleightyfive.com/ Support Broken Play by checking out our partners: Join ...,"{'default': {'url': 'https://i.ytimg.com/vi/IiKCTDL-FYY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IiKCTDL-FYY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IiKCTDL-FYY/hqdefault.jpg', 'width': 480, 'height': 360}}",The 85 South Comedy Show,none,2025-01-31T00:15:19Z,IiKCTDL-FYY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/IiKCTDL-FYY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
24,2025-01-31T00:14:15Z,UCi2uaWdy6OTf4Ty7DVC_7lw,GOD THANK YOU ❤️.  #iam_marwa SON,,"{'default': {'url': 'https://i.ytimg.com/vi/5TQ_3hBhefw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5TQ_3hBhefw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5TQ_3hBhefw/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2025-01-31T00:14:15Z,5TQ_3hBhefw,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/5TQ_3hBhefw"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Travel
16,2025-01-30T23:47:53Z,UCABZ7Z6SBTp4IsARDceOq7w,Rexx Garvin Returns To Respond To Steve Harvey Talking About Him Bombing: &quot;I Had One Bad Night&quot;,"https://hypersclub.com/ - One of our favorites, Rexx Garvin makes his return to the platform. During his talk with our Jon Aba, ...","{'default': {'url': 'https://i.ytimg.com/vi/O0erGAYgMwQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/O0erGAYgMwQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/O0erGAYgMwQ/hqdefault.jpg', 'width': 480, 'height': 360}}",HypePlus,none,2025-01-30T23:47:53Z,O0erGAYgMwQ,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/O0erGAYgMwQ"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Entertainment
13,2025-01-30T23:32:48Z,UCiinSjWS3E0vtAa3DCvp7iA,EPA Dumps Hazardous Waste after Eaton Fire,"Several cities are in uproar over the EPA's plan to dump hazardous waste from the Eaton Fire to a park in Duarte, CA. Residents ...","{'default': {'url': 'https://i.ytimg.com/vi/kWm5ORxSuuE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/kWm5ORxSuuE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/kWm5ORxSuuE/hqdefault.jpg', 'width': 480, 'height': 360}}",BreakThrough News,none,2025-01-30T23:32:48Z,kWm5ORxSuuE,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/kWm5ORxSuuE"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>",Current Events
